City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Kawalu,ID,-7.3817,108.2082,72.97,95,100,0.74,moderate rain
235,Fairbanks,US,64.8378,-147.7164,-16.26,77,0,0.0,clear sky
236,Humberto De Campos,BR,-2.5983,-43.4611,88.92,52,62,8.97,broken clouds
237,Hohhot,CN,40.8106,111.6522,1.69,78,8,6.71,clear sky
238,Oranjemund,NA,-28.55,16.4333,70.61,76,65,12.15,broken clouds
239,Lorengau,PG,-2.0226,147.2712,81.19,76,100,6.15,overcast clouds
240,El Alto,PE,-4.2714,-81.2147,82.06,54,98,2.82,overcast clouds
241,Saint Anthony,US,45.0205,-93.218,31.95,86,100,0.0,overcast clouds
242,Yarada,IN,17.65,83.2667,73.72,83,20,2.3,mist
243,Sao Filipe,CV,14.8961,-24.4956,79.07,56,0,13.42,clear sky
244,Lashio,MM,22.9333,97.75,53.33,64,3,1.12,clear sky
245,Arlit,NE,18.7369,7.3853,79.86,7,18,4.47,few clouds
246,Berlevag,NO,70.8578,29.0864,31.95,40,0,8.05,clear sky
247,Narsaq,GL,60.9167,-46.05,17.82,71,100,7.83,overcast clouds
248,Warrnambool,AU,-38.3833,142.4833,56.82,55,100,13.87,overcast clouds
249,Dikson,RU,73.5069,80.5464,-13.16,75,100,7.74,overcast clouds
250,Humen,CN,22.819,113.6731,53.51,57,4,6.06,clear sky
251,Mecca,SA,21.4267,39.8261,79.2,40,28,6.53,scattered clouds
252,Nishihara,JP,26.1842,127.7558,60.08,63,75,12.66,broken clouds
253,Mantua,IT,45.1667,10.7833,43.84,90,100,1.01,overcast clouds
254,Ayan,RU,56.45,138.1667,-31.58,75,8,8.59,clear sky
255,Constitucion,CL,-35.3333,-72.4167,68.43,51,0,4.45,clear sky
256,Shache,CN,38.4167,77.2406,0.1,96,9,4.0,clear sky
257,Gat,IL,31.61,34.7642,64.4,100,0,9.98,clear sky
